"k","constraint","fve","orth_violation","total_pwcorr","nnz"
5,"nsprcomp",0.0416710238808253,0,0.0414528631468955,20
10,"nsprcomp",0.0659668670126062,0,0.0452728768121971,40
15,"nsprcomp",0.0831717492137815,0,0.0558162522033935,60
20,"nsprcomp",0.0985797633985306,0,0.0517177456382808,80
25,"nsprcomp",0.10831165193446,0.014772874961415,0.0583643800744828,100
30,"nsprcomp",0.102457333713174,0.116802950352157,0.0461039889966998,120
35,"nsprcomp",0.105149135994071,0.234881929613708,0.0511930686602239,140
